"rank","city","state_id","census_2020","census_2010","change","state_name","latitude","longitude","costofliving","localpurchasingpower","groceries","rent","restaurant","f500_average_rank","f500_total_companies","f500_total_employees","f500_total_revenue","f500_total_profit","total_venues","total_superbowls"
322,"Mansfield","OH",124936,124475,"0.0037","Ohio","40.7656","-82.5275",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
323,"San Angelo","TX",122888,112966,"0.0878","Texas","31.4424","-100.4506",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
324,"Altoona","PA",122822,127089,"-0.0336","Pennsylvania","40.5082","-78.4007",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
325,"New Bern","NC",122168,126802,"-0.0365","North Carolina","35.0955","-77.0723",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
326,"Wenatchee","WA",122012,110884,"0.1004","Washington","47.4356","-120.3283",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
327,"Farmington","NM",121661,130044,"-0.0645","New Mexico","36.7555","-108.1823",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
328,"Owensboro","KY",121559,114752,"0.0593","Kentucky","37.7574","-87.1173",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
329,"St. Joseph","MO",121467,127329,"-0.046","Missouri","39.7599","-94.821",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
330,"Lawrence","KS",118785,110826,"0.0718","Kansas","38.9597","-95.2641",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
331,"Sheboygan","WI",118034,115507,"0.0219","Wisconsin","43.7403","-87.7316",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
332,"Missoula","MT",117922,109299,"0.0789","Montana","46.875","-114.0214",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
333,"Goldsboro","NC",117333,122623,"-0.0431","North Carolina","35.3778","-77.972",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
334,"Weirton","WV",116903,124454,"-0.0607","West Virginia","40.406","-80.5671",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
335,"Watertown","NY",116721,116229,"0.0042","New York","43.9734","-75.9094",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
336,"Anniston","AL",116441,118572,"-0.018","Alabama","33.6712","-85.8136",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
337,"Beckley","WV",115079,124898,"-0.0786","West Virginia","37.7878","-81.1841",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
338,"Twin Falls","ID",114283,99604,"0.1474","Idaho","42.5645","-114.4615",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
339,"Williamsport","PA",114188,116111,"-0.0166","Pennsylvania","41.2398","-77.0371",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
340,"California","MD",113777,105151,"0.082","Maryland","38.2969","-76.4949",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
341,"Brunswick","GA",113495,112370,"0.01","Georgia","31.145","-81.474",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
342,"Michigan City","IN",112417,111467,"0.0085","Indiana","41.7099","-86.8705",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
343,"Muncie","IN",111903,117671,"-0.049","Indiana","40.1989","-85.395",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
344,"Lewiston","ME",111139,107702,"0.0319","Maine","44.0915","-70.1681",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
345,"Longview","WA",110730,102410,"0.0812","Washington","46.1461","-122.9629",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
346,"Kankakee","IL",107502,113449,"-0.0524","Illinois","41.1019","-87.8643",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
347,"Ithaca","NY",105740,101564,"0.0411","New York","42.4442","-76.5032",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
348,"Grand Forks","ND",104362,98461,"0.0599","North Dakota","47.9218","-97.0886",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
349,"Fond du Lac","WI",104154,101633,"0.0248","Wisconsin","43.7718","-88.4396",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
350,"Decatur","IL",103998,110768,"-0.0611","Illinois","39.8556","-88.9337",NULL,NULL,NULL,NULL,NULL,"1",45,31800,62346,"1279",NULL,NULL
351,"Bay City","MI",103856,107771,"-0.0363","Michigan","43.5903","-83.8886",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
352,"Gettysburg","PA",103852,101407,"0.0241","Pennsylvania","39.8304","-77.2339",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
353,"Mankato","MN",103566,96740,"0.0706","Minnesota","44.1712","-93.9773",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
354,"Gadsden","AL",103436,104430,"-0.0095","Alabama","34.009","-86.0156",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
355,"Lima","OH",102206,106331,"-0.0388","Ohio","40.741","-84.1121",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
356,"Sebring","FL",101235,98786,"0.0248","Florida","27.477","-81.453",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
357,"Cheyenne","WY",100512,91738,"0.0956","Wyoming","41.1351","-104.79",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
358,"Hot Springs","AR",100180,96024,"0.0433","Arkansas","34.4892","-93.0501",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
359,"Dubuque","IA",99266,93653,"0.0599","Iowa","42.5008","-90.7067",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
360,"Rome","GA",98584,96317,"0.0235","Georgia","34.2661","-85.1862",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
361,"Victoria","TX",98331,94003,"0.046","Texas","28.8285","-96.985",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
362,"Cape Girardeau","MO",97517,96275,"0.0129","Missouri","37.3108","-89.5597",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
363,"Fairbanks","AK",95655,97581,"-0.0197","Alaska","64.8353","-147.6534",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
364,"Ocean City","NJ",95263,97265,"-0.0206","New Jersey","39.2682","-74.6019",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
365,"Corvallis","OR",95184,85579,"0.1122","Oregon","44.5697","-123.278",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
366,"Cumberland","MD",95044,103299,"-0.0799","Maryland","39.6515","-78.7585",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
367,"Pocatello","ID",94896,90656,"0.0468","Idaho","42.8724","-112.4646",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
368,"Parkersburg","WV",89490,92673,"-0.0343","West Virginia","39.2624","-81.542",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
369,"Grants Pass","OR",88090,82713,"0.065","Oregon","42.4333","-123.3317",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
370,"Pine Bluff","AR",87751,100258,"-0.1247","Arkansas","34.2116","-92.0178",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
371,"Great Falls","MT",84414,81327,"0.038","Montana","47.5022","-111.2995",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
372,"Elmira","NY",84148,88830,"-0.0527","New York","42.0938","-76.8097",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
373,"Kokomo","IN",83658,82752,"0.0109","Indiana","40.464","-86.1277",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
374,"Midland","MI",83494,83629,"-0.0016","Michigan","43.6241","-84.2319",NULL,NULL,NULL,NULL,NULL,"1",62,56000,48158,"4318",NULL,NULL
375,"Bloomsburg","PA",82863,85562,"-0.0315","Pennsylvania","41.0027","-76.4561",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
376,"Columbus","IN",82208,76794,"0.0705","Indiana","39.2093","-85.9183",NULL,NULL,NULL,NULL,NULL,"1",159,55400,17509,"1394",NULL,NULL
377,"Hinesville","GA",81424,77917,"0.045","Georgia","31.8247","-81.6135",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
378,"Casper","WY",79955,75450,"0.0597","Wyoming","42.842","-106.3207",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
379,"Grand Island","NE",77038,72726,"0.0593","Nebraska","40.9214","-98.3584",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
380,"Danville","IL",74188,81625,"-0.0911","Illinois","40.1423","-87.6114",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
381,"Lewiston","ID",64375,60888,"0.0573","Idaho","46.3934","-116.9934",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
382,"Enid","OK",62846,60580,"0.0374","Oklahoma","36.4061","-97.8701",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
383,"Walla Walla","WA",62584,58781,"0.0647","Washington","46.067","-118.3366",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
384,"Carson City","NV",58639,55274,"0.0609","Nevada","39.1512","-119.7474",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
